invoice_id,customer_id,customer_name,amount,due_date,days_to_due,risk_band,reasons
INV-2177,C-05,Ardley & Sons,314.14,2026-07-13,-44,high,"100% of this customer's past invoices paid late (avg 70d late); already 44 days past due; agent currently holding this invoice: reply 07_reply classified as hostile (language indicating frustration/relationship risk, independent of payment content); automated cadence frozen for INV-2177 pending human resolution"
INV-2356,C-10,Thackeray Advisory,18989.52,2026-07-21,-36,high,"100% of this customer's past invoices paid late (avg 36d late); already 36 days past due; agent currently holding this invoice: reply 04_reply classified as dispute (customer disputes the amount, hours, or rate on the invoice); automated cadence frozen for INV-2356 pending human resolution"
INV-2122,C-03,Perrin Life Sciences,24731.97,2026-07-28,-29,high,53% of this customer's past invoices paid late (avg 23d late); already 29 days past due; agent currently holding this invoice: reply 11_reply classified as legal_escalation (customer has routed the matter to legal); automated cadence frozen for INV-2122 pending human resolution
INV-2087,C-02,Cormack Retail Group,9952.53,2026-08-01,-25,high,100% of this customer's past invoices paid late (avg 25d late); already 25 days past due; agent currently holding this invoice: reply 03_reply: customer claims payment; reconciliation=unverified
INV-2178,C-05,Ardley & Sons,269.57,2026-08-04,-22,high,100% of this customer's past invoices paid late (avg 70d late); already 22 days past due; agent currently holding this invoice: reply 14_reply classified as payment_plan_request (customer is proposing partial/staged payment); automated cadence frozen for INV-2178 pending human resolution
INV-2267,C-07,Saltmarsh Media,7101.18,2026-08-06,-20,high,100% of this customer's past invoices paid late (avg 21d late); already 20 days past due; agent currently holding this invoice: reply 05_reply classified as payment_plan_request (customer is proposing partial/staged payment); automated cadence frozen for INV-2267 pending human resolution
INV-2121,C-03,Perrin Life Sciences,31165.01,2026-08-11,-15,high,53% of this customer's past invoices paid late (avg 23d late); already 15 days past due
INV-2085,C-02,Cormack Retail Group,10664.57,2026-08-12,-14,high,"100% of this customer's past invoices paid late (avg 25d late); already 14 days past due; agent currently holding this invoice: reply 13_reply classified as wrong_reference (customer disputes the invoice/PO identifier itself, not the underlying debt); automated cadence frozen for INV-2085 pending human resolution"
INV-2086,C-02,Cormack Retail Group,8797.11,2026-08-14,-12,high,100% of this customer's past invoices paid late (avg 25d late); already 12 days past due
INV-2124,C-03,Perrin Life Sciences,37685.06,2026-08-19,-7,high,53% of this customer's past invoices paid late (avg 23d late); already 7 days past due
INV-2268,C-07,Saltmarsh Media,6768.87,2026-08-20,-6,high,100% of this customer's past invoices paid late (avg 21d late); already 6 days past due; agent currently holding this invoice: reply 18_reply classified as ambiguous (reply body carries no interpretable content (e.g. a bare '?')); automated cadence frozen for INV-2268 pending human resolution
INV-2229,C-06,Northbrook Health,26801.74,2026-09-01,6,high,28% of this customer's past invoices paid late; due within 6 days; agent currently holding this invoice: reply 16_reply classified as document_request (customer needs a document before they will action payment); automated cadence frozen for INV-2229 pending human resolution
INV-2357,C-10,Thackeray Advisory,13915.41,2026-09-01,6,high,100% of this customer's past invoices paid late (avg 36d late); due within 6 days; agent currently holding this invoice: reply 17_reply classified as document_request (customer needs a document before they will action payment); automated cadence frozen for INV-2357 pending human resolution
INV-2431,C-12,Woodvale Systems,11706.36,2026-09-08,13,high,73% of this customer's past invoices paid late (avg 23d late); agent currently holding this invoice: reply 08_reply classified as acknowledged_uncategorized (reply text did not match a known pattern -- treat as needing human read); automated cadence frozen for INV-2431 pending human resolution
INV-2430,C-12,Woodvale Systems,15018.00,2026-09-09,14,high,"73% of this customer's past invoices paid late (avg 23d late); agent currently holding this invoice: reply 19_reply: remittance advice for INV-2430; reconciliation=pending, held for AR to confirm receipt"
INV-2287,C-08,Kesteven Industrial,72054.53,2026-08-27,1,medium,100% of this customer's past invoices paid late (avg 15d late); due within 1 days
INV-2090,C-02,Cormack Retail Group,7159.84,2026-08-31,5,medium,100% of this customer's past invoices paid late (avg 25d late); due within 5 days
INV-2033,C-01,Halvorsen Logistics,18548.72,2026-09-01,6,medium,"clean payment history (0% late historically); due within 6 days; agent currently holding this invoice: reply 12_reply classified as wrong_reference (customer disputes the invoice/PO identifier itself, not the underlying debt); automated cadence frozen for INV-2033 pending human resolution"
INV-2089,C-02,Cormack Retail Group,9977.71,2026-09-02,7,medium,100% of this customer's past invoices paid late (avg 25d late); due within 7 days
INV-2123,C-03,Perrin Life Sciences,34814.46,2026-09-04,9,medium,53% of this customer's past invoices paid late (avg 23d late)
